NAME,LON,LAT,Year,Month,Day,Hour,SID,SEASON,NUMBER,BASIN,SUBBASIN,ISO_TIME,NATURE,WMO_WIND_kts,WMO_PRES_mb,WMO_AGENCY,TRACK_TYPE,DIST2LAND_km,LANDFALL_km,STORM_SPEED_kts,STORM_DIR_degrees
NISHA,81.8,8.7,2008,11,24,0.25,2008329N09082,2008,95,NI,BB,24/11/2008 6:00,NR, , , ,main,55,34,6,292
NISHA,81.5201,8.81007,2008,11,24,0.375,2008329N09082,2008,95,NI,BB,24/11/2008 9:00,NR, , , ,main,34,24,5,292
NISHA,81.3,8.9,2008,11,24,0.5,2008329N09082,2008,95,NI,BB,24/11/2008 12:00,NR, , , ,main,24,15,4,294
NISHA,81.1775,8.95747,2008,11,24,0.625,2008329N09082,2008,95,NI,BB,24/11/2008 15:00,NR, , , ,main,24,15,2,297
NISHA,81.1,9,2008,11,24,0.75,2008329N09082,2008,95,NI,BB,24/11/2008 18:00,NR, , , ,main,15,10,2,295
NISHA,81,9.0425,2008,11,24,0.875,2008329N09082,2008,95,NI,BB,24/11/2008 21:00,NR, , , ,main,10,0,2,297
NISHA,80.9,9.1,2008,11,25,0,2008329N09082,2008,95,NI,BB,25/11/2008 0:00,TS, , , ,main,0,0,2,306
NISHA,80.8,9.185,2008,11,25,0.125,2008329N09082,2008,95,NI,BB,25/11/2008 3:00,TS, , , ,main,0,0,3,315
NISHA,80.7,9.3,2008,11,25,0.25,2008329N09082,2008,95,NI,BB,25/11/2008 6:00,TS, , , ,main,0,0,1,298
NISHA,80.668,9.254,2008,11,25,0.375,2008329N09082,2008,95,NI,BB,25/11/2008 9:00,TS,25,1001,newdelhi,main,0,0,1,213
NISHA,80.6667,9.23333,2008,11,25,0.5,2008329N09082,2008,95,NI,BB,25/11/2008 12:00,TS,30,1001,newdelhi,main,0,0,2,9
NISHA,80.6971,9.42857,2008,11,25,0.625,2008329N09082,2008,95,NI,BB,25/11/2008 15:00,TS,30,1001,newdelhi,main,10,10,5,341
NISHA,80.5,9.7,2008,11,25,0.75,2008329N09082,2008,95,NI,BB,25/11/2008 18:00,TS,30,1002,newdelhi,main,15,15,7,327
NISHA,80.3,10.0213,2008,11,25,0.875,2008329N09082,2008,95,NI,BB,25/11/2008 21:00,TS,30,1002,newdelhi,main,33,33,4,340
NISHA,80.35,10.1,2008,11,26,0,2008329N09082,2008,95,NI,BB,26/11/2008 0:00,TS,30,1000,newdelhi,main,46,44,4,7
NISHA,80.3613,10.45,2008,11,26,0.125,2008329N09082,2008,95,NI,BB,26/11/2008 3:00,TS,40,1000,newdelhi,main,54,54,5,0
NISHA,80.35,10.55,2008,11,26,0.25,2008329N09082,2008,95,NI,BB,26/11/2008 6:00,TS,40,1000,newdelhi,main,54,43,2,0
NISHA,80.3362,10.6325,2008,11,26,0.375,2008329N09082,2008,95,NI,BB,26/11/2008 9:00,TS,45,996,newdelhi,main,43,43,3,351
